음식명,중량(g),에너지(kcal),탄수화물(g),당류(g),지방(g),단백질(g),칼슘(mg),인(mg),나트륨(mg),칼륨(mg),마그네슘(mg),철(mg),아연(mg),콜레스테롤(mg),트랜스지방(g)
고추장아찌,30.00 ,22.36 ,4.18 ,3.00 ,0.09 ,0.80 ,4.75 ,16.66 ,787.30 ,83.33 ,-,0.22 ,0.14 ,0.00 ,0.00 
깻잎장아찌,30.00 ,33.64 ,7.87 ,2.78 ,0.36 ,2.11 ,84.17 ,40.46 ,568.75 ,220.79 ,-,1.01 ,0.43 ,0.63 ,0.00 
마늘장아찌,30.00 ,16.06 ,3.07 ,0.30 ,0.02 ,0.79 ,1.74 ,14.80 ,481.75 ,64.27 ,-,0.12 ,0.13 ,0.00 ,0.00 
무장아찌,30.00 ,27.34 ,5.31 ,3.30 ,0.26 ,0.57 ,15.62 ,15.06 ,933.28 ,106.02 ,-,0.32 ,0.15 ,0.00 ,0.00 
양념게장,200.00 ,275.55 ,46.33 ,26.52 ,2.06 ,20.41 ,165.87 ,283.47 ,1747.84 ,792.52 ,-,5.25 ,5.23 ,134.40 ,0.00 
양파장아찌,50.00 ,19.72 ,3.54 ,1.50 ,0.05 ,0.58 ,5.05 ,13.41 ,423.61 ,63.34 ,-,0.18 ,0.13 ,0.00 ,0.00 
오이지,50.00 ,11.44 ,2.39 ,0.00 ,0.31 ,1.14 ,30.22 ,80.08 ,926.00 ,328.19 ,-,0.63 ,0.32 ,0.00 ,0.00 
무피클,50.00 ,17.00 ,4.19 ,1.99 ,0.05 ,0.40 ,13.08 ,11.56 ,6.60 ,108.32 ,-,0.35 ,0.15 ,0.00 ,0.00 
오이피클,50.00 ,54.00 ,14.64 ,1.99 ,0.15 ,0.30 ,15.08 ,4.06 ,333.60 ,27.32 ,-,0.50 ,0.05 ,0.00 ,0.00 
단무지,30.00 ,3.90 ,0.66 ,0.23 ,0.16 ,0.11 ,5.20 ,3.54 ,173.55 ,16.08 ,-,0.09 ,0.04 ,0.00 ,0.00 
오징어젓갈,10.00 ,6.83 ,0.29 ,0.00 ,0.10 ,1.24 ,2.40 ,17.60 ,179.11 ,27.04 ,2.07 ,0.07 ,0.11 ,13.68 ,0.00 
명란젓,10.00 ,12.00 ,0.27 ,0.00 ,0.30 ,2.05 ,2.80 ,24.90 ,353.10 ,41.00 ,0.00 ,0.12 ,0.20 ,35.00 ,0.00 
생연어,100.00 ,110.29 ,1.00 ,0.00 ,1.94 ,20.91 ,26.91 ,249.04 ,213.06 ,349.60 ,0.80 ,1.26 ,0.56 ,60.00 ,0.00 
생선물회,800.00 ,575.01 ,81.45 ,29.37 ,14.13 ,36.77 ,267.85 ,499.47 ,2986.23 ,1560.18 ,-,8.17 ,2.89 ,0.76 ,0.00 
광어회 ,100.00 ,116.20 ,9.34 ,5.46 ,1.36 ,17.20 ,46.60 ,171.20 ,754.40 ,382.00 ,0.00 ,1.54 ,0.40 ,74.96 ,0.00 
훈제연어,100.00 ,169.00 ,9.34 ,5.46 ,6.16 ,19.28 ,20.20 ,200.00 ,1260.80 ,218.80 ,0.00 ,0.90 ,0.61 ,141.60 ,0.00 
육회,150.00 ,236.56 ,15.95 ,7.04 ,8.05 ,25.03 ,45.81 ,244.28 ,433.42 ,608.35 ,-,3.05 ,4.77 ,57.75 ,0.00 
육사시미,150.00 ,203.55 ,6.96 ,4.10 ,6.08 ,29.28 ,30.15 ,252.00 ,888.03 ,541.80 ,0.00 ,7.95 ,3.64 ,63.45 ,0.00 
가래떡,100.00 ,205.04 ,45.05 ,0.00 ,0.33 ,3.52 ,2.46 ,77.00 ,254.68 ,90.53 ,0.00 ,0.22 ,0.83 ,0.00 ,0.00 
경단,100.00 ,303.79 ,67.04 ,0.00 ,0.54 ,6.58 ,17.87 ,109.13 ,186.36 ,99.27 ,0.00 ,1.57 ,1.40 ,0.00 ,0.00 
꿀떡,100.00 ,225.92 ,50.36 ,9.58 ,0.76 ,3.24 ,7.10 ,71.46 ,251.34 ,83.74 ,0.10 ,0.30 ,0.78 ,0.00 ,0.00 
시루떡,100.00 ,223.62 ,49.03 ,5.99 ,0.28 ,5.50 ,16.63 ,59.45 ,278.95 ,212.64 ,0.00 ,1.11 ,1.35 ,0.00 ,0.00 
메밀전병,100.00 ,166.14 ,24.82 ,0.00 ,5.50 ,5.79 ,37.04 ,137.63 ,340.66 ,274.49 ,69.82 ,1.41 ,0.97 ,0.00 ,0.00 
찰떡,100.00 ,216.19 ,44.88 ,5.50 ,1.24 ,5.81 ,15.19 ,83.83 ,236.82 ,151.40 ,9.89 ,1.61 ,1.51 ,0.00 ,0.00 
무지개떡,100.00 ,218.18 ,48.70 ,6.99 ,0.87 ,4.00 ,26.73 ,89.28 ,277.71 ,115.01 ,0.00 ,0.48 ,1.02 ,0.00 ,0.00 
백설기,100.00 ,218.82 ,48.20 ,11.99 ,0.79 ,4.04 ,10.82 ,78.99 ,296.95 ,96.90 ,4.20 ,0.55 ,0.75 ,0.00 ,0.00 
송편,100.00 ,234.90 ,46.82 ,1.52 ,2.70 ,4.17 ,45.98 ,77.16 ,236.55 ,67.89 ,19.97 ,1.13 ,0.57 ,0.00 ,0.00 
수수부꾸미,100.00 ,258.99 ,46.15 ,3.00 ,5.67 ,5.50 ,6.37 ,95.48 ,270.04 ,162.45 ,0.00 ,1.05 ,1.33 ,0.00 ,0.00 
수수팥떡,100.00 ,212.73 ,45.17 ,1.00 ,0.68 ,5.98 ,7.49 ,99.64 ,236.38 ,182.04 ,0.00 ,1.13 ,1.40 ,0.00 ,0.00 
쑥떡,100.00 ,238.06 ,54.64 ,9.99 ,0.45 ,4.53 ,65.20 ,65.55 ,256.15 ,343.62 ,17.50 ,1.59 ,0.55 ,0.00 ,0.00 
약식,100.00 ,232.21 ,48.88 ,7.99 ,2.27 ,3.83 ,12.89 ,79.74 ,290.64 ,142.12 ,12.11 ,2.53 ,1.30 ,0.16 ,0.00 
인절미,100.00 ,214.46 ,42.55 ,0.00 ,1.76 ,6.40 ,15.04 ,117.19 ,337.74 ,232.64 ,11.27 ,1.86 ,1.59 ,0.00 ,0.00 
절편,100.00 ,197.81 ,44.07 ,5.00 ,0.35 ,3.06 ,2.50 ,66.88 ,266.77 ,79.46 ,0.00 ,0.22 ,0.72 ,0.00 ,0.00 
증편,100.00 ,198.69 ,44.22 ,15.98 ,0.34 ,2.54 ,6.84 ,52.05 ,259.04 ,61.00 ,0.00 ,0.23 ,0.56 ,0.00 ,0.00 
찹쌀떡,100.00 ,264.74 ,62.08 ,13.99 ,0.23 ,3.41 ,15.68 ,71.71 ,226.38 ,86.78 ,7.71 ,1.46 ,1.13 ,0.00 ,0.00 
매작과,30.00 ,121.48 ,19.06 ,0.00 ,3.57 ,2.55 ,3.32 ,26.46 ,31.05 ,42.39 ,-,0.43 ,0.13 ,0.00 ,0.00 
다식,30.00 ,105.17 ,20.81 ,6.46 ,1.73 ,3.55 ,1.43 ,100.07 ,3.85 ,206.71 ,-,0.52 ,0.04 ,0.00 ,0.00 
약과,30.00 ,113.85 ,22.18 ,2.15 ,1.24 ,2.57 ,4.45 ,28.23 ,16.46 ,59.42 ,-,0.57 ,0.14 ,0.00 ,0.00 
유과,30.00 ,129.06 ,24.14 ,1.12 ,3.50 ,0.36 ,1.21 ,3.60 ,7.06 ,0.03 ,-,0.24 ,0.20 ,0.00 ,0.00 
산자,30.00 ,121.70 ,24.70 ,10.63 ,1.20 ,0.91 ,2.00 ,20.36 ,8.01 ,60.93 ,-,0.41 ,0.27 ,0.00 ,0.00 
깨강정,30.00 ,150.30 ,13.62 ,0.00 ,9.87 ,4.50 ,156.00 ,125.70 ,24.30 ,67.50 ,0.00 ,1.38 ,2.13 ,0.00 ,0.00 
